tatort	tatort_cleaned	tatort_coding	lat	lon
Am Jostenhof hinter Haus-Nr. 6, vor Skoda	Am Jostenhof  6, vor Skoda	Am Jostenhof  6, vor Skoda, Moers, Deutschland	51.45274	6.60894
Am Jungbornpark 169	Am Jungbornpark 169	Am Jungbornpark 169, Moers, Deutschland	51.48755	6.60748
Am Jungbornpark 191	Am Jungbornpark 191	Am Jungbornpark 191, Moers, Deutschland	51.48878	6.60841
Am Jungbornpark 195	Am Jungbornpark 195	Am Jungbornpark 195, Moers, Deutschland	51.48909	6.60843
Am Jungbornpark 199	Am Jungbornpark 199	Am Jungbornpark 199, Moers, Deutschland	51.48935	6.60848
Am Jungbornpark 224	Am Jungbornpark 224	Am Jungbornpark 224, Moers, Deutschland	51.48805	6.60835
Am Jungbornpark 232	Am Jungbornpark 232	Am Jungbornpark 232, Moers, Deutschland	51.48911	6.60871
Am Jungbornpark ggü. Haus-Nr. 129	Am Jungbornpark 129	Am Jungbornpark 129, Moers, Deutschland	51.48281	6.60552
Am Jungbornpark ggü. Haus-Nr. 139	Am Jungbornpark 139	Am Jungbornpark 139, Moers, Deutschland	51.48331	6.6052
Am Jungbornpark ggü. Haus-Nr. 169	Am Jungbornpark 169	Am Jungbornpark 169, Moers, Deutschland	51.48755	6.60748
Am Jungbornpark ggü. Haus-Nr. 171	Am Jungbornpark 171	Am Jungbornpark 171, Moers, Deutschland	51.48761	6.60779
Am Jungbornpark ggü. Haus-Nr. 173	Am Jungbornpark 173	Am Jungbornpark 173, Moers, Deutschland	51.48777	6.6079
Am Jungbornpark ggü. Haus-Nr. 175	Am Jungbornpark 175	Am Jungbornpark 175, Moers, Deutschland	51.48533	6.6057
Am Jungbornpark in Höhe von Haus-Nr. 145	Am Jungbornpark 145	Am Jungbornpark 145, Moers, Deutschland	51.48443	6.60533
Am Jungbornpark in Höhe von Haus-Nr. 196	Am Jungbornpark 196	Am Jungbornpark 196, Moers, Deutschland	51.48622	6.60681
Am Jungbornpark in Höhe von Haus-Nr. 226	Am Jungbornpark 226	Am Jungbornpark 226, Moers, Deutschland	51.48818	6.60841
Am Kolk 1	Am Kolk 1	Am Kolk 1, Moers, Deutschland	51.48819	6.60804
Am Kolk 5	Am Kolk 5	Am Kolk 5, Moers, Deutschland	51.48817	6.60759
Am Kolk in Höhe von Haus-Nr. 12	Am Kolk 12	Am Kolk 12, Moers, Deutschland	51.4883	6.6071
Am Kolk in Höhe von Haus-Nr. 17	Am Kolk 17	Am Kolk 17, Moers, Deutschland	51.488	6.60659
Am Kolk in Höhe von Haus-Nr. 24	Am Kolk 24	Am Kolk 24, Moers, Deutschland	51.48804	6.60559
Am Meerholz 2	Am Meerholz 2	Am Meerholz 2, Moers, Deutschland	51.48133	6.60218
Am Meerholz 20	Am Meerholz 20	Am Meerholz 20, Moers, Deutschland	51.48065	6.60369
Am Meerholz 23	Am Meerholz 23	Am Meerholz 23, Moers, Deutschland	51.48105	6.60373
Am Meerholz 4	Am Meerholz 4	Am Meerholz 4, Moers, Deutschland	51.48131	6.60226
Am Meerholz 5	Am Meerholz 5	Am Meerholz 5, Moers, Deutschland	51.48172	6.60206
Am Meerholz ggü. Haus-Nr. 1, geg. Timmermansstr.	Am Meerholz 1, Timmermansstr.	Am Meerholz 1, Timmermansstr., Moers, Deutschland	51.48191	6.60144
Am Meerholz ggü. Haus-Nr. 5	Am Meerholz 5	Am Meerholz 5, Moers, Deutschland	51.48172	6.60206
Am Meerholz in Höhe von Haus-Nr. 2	Am Meerholz 2	Am Meerholz 2, Moers, Deutschland	51.48133	6.60218
Am Meerholz vor Haus-Nr. 2, Ecke Stormstr.	Am Meerholz 2, Ecke Stormstr.	Am Meerholz 2, Ecke Stormstr., Moers, Deutschland	51.48133	6.60218
Am Meerholz, Ecke Stormstr.	Am Meerholz, Ecke Stormstr.	Am Meerholz, Ecke Stormstr., Moers, Deutschland	51.48105	6.60373
Am Meerholz, Ecke Timmermansstr.	Am Meerholz, Ecke Timmermansstr.	Am Meerholz, Ecke Timmermansstr., Moers, Deutschland	51.48105	6.60373
Am Mönk 17	Am Mönk 17	Am Mönk 17, Moers, Deutschland	51.48864	6.59382
Am Mönk 1c	Am Mönk 1c	Am Mönk 1c, Moers, Deutschland	51.48797	6.59236
Am Mönk 20	Am Mönk 20	Am Mönk 20, Moers, Deutschland	51.48842	6.59542
Am Mönk 25, Giebel	Am Mönk 25, Giebel	Am Mönk 25, Giebel, Moers, Deutschland	51.48877	6.59475
Am Mönk 5, Giebel	Am Mönk 5, Giebel	Am Mönk 5, Giebel, Moers, Deutschland	51.48829	6.59249
Am Mönk 6, Giebel	Am Mönk 6, Giebel	Am Mönk 6, Giebel, Moers, Deutschland	51.48809	6.59283
Am Mönk 9, Giebel	Am Mönk 9, Giebel	Am Mönk 9, Giebel, Moers, Deutschland	51.48844	6.59291
Am Mönk ggü. Haus-Nr. 21	Am Mönk 21	Am Mönk 21, Moers, Deutschland	51.48871	6.59428
Am Mönk ggü. Haus-Nr. 21-23	Am Mönk 21-23	Am Mönk 21-23, Moers, Deutschland	51.48871	6.59428
Am Mönk ggü. Haus-Nr. 25	Am Mönk 25	Am Mönk 25, Moers, Deutschland	51.48877	6.59475
Am Mönk ggü. Haus-Nr. 25-27	Am Mönk 25-27	Am Mönk 25-27, Moers, Deutschland	51.48877	6.59475
Am Mönk ggü. Haus-Nr. 29	Am Mönk 29	Am Mönk 29, Moers, Deutschland	51.48882	6.59522
Am Mönk ggü. Haus-Nr. 29-31	Am Mönk 29-31	Am Mönk 29-31, Moers, Deutschland	51.48882	6.59522
Am Mönk ggü. Haus-Nr. 2a	Am Mönk 2a	Am Mönk 2a, Moers, Deutschland	51.48761	6.5922
Am Mönk ggü. Haus-Nr. 2b	Am Mönk 2b	Am Mönk 2b, Moers, Deutschland	51.48768	6.59249
Am Mönk in Höhe von Haus-Nr. 16	Am Mönk 16	Am Mönk 16, Moers, Deutschland	51.48868	6.59542
Am Mönk in Höhe von Haus-Nr. 17	Am Mönk 17	Am Mönk 17, Moers, Deutschland	51.48864	6.59382
Am Mönk in Höhe von Haus-Nr. 18	Am Mönk 18	Am Mönk 18, Moers, Deutschland	51.48855	6.59542
Am Mönk in Höhe von Haus-Nr. 20	Am Mönk 20	Am Mönk 20, Moers, Deutschland	51.48842	6.59542
Am Mönk in Höhe von Haus-Nr. 22	Am Mönk 22	Am Mönk 22, Moers, Deutschland	51.48828	6.59543
Am Mönk in Höhe von Haus-Nr. 47	Am Mönk 47	Am Mönk 47, Moers, Deutschland	51.48855	6.59336
Am Mönk neben Haus-Nr. 17	Am Mönk 17	Am Mönk 17, Moers, Deutschland	51.48864	6.59382
Am Pandyck 1, Wendehammer	Am Pandyck 1, Wendehammer	Am Pandyck 1, Wendehammer, Moers, Deutschland	51.44512	6.66557
Am Pandyck 80, Wendehammer	Am Pandyck 80, Wendehammer	Am Pandyck 80, Wendehammer, Moers, Deutschland	51.44504	6.66626
Am Pandyck ggü. Haus-Nr. 13	Am Pandyck 13	Am Pandyck 13, Moers, Deutschland	51.4457	6.66575
Am Pandyck ggü. Haus-Nr. 17	Am Pandyck 17	Am Pandyck 17, Moers, Deutschland	51.4457	6.66606
Am Pandyck ggü. Haus-Nr. 25	Am Pandyck 25	Am Pandyck 25, Moers, Deutschland	51.4457	6.6667
Am Pandyck in Höhe von Haus-Nr. 17	Am Pandyck 17	Am Pandyck 17, Moers, Deutschland	51.4457	6.66606
Am Pandyck in Höhe von Haus-Nr. 22	Am Pandyck 22	Am Pandyck 22, Moers, Deutschland	51.4455	6.66626
Am Pandyck in Höhe von Haus-Nr. 40	Am Pandyck 40	Am Pandyck 40, Moers, Deutschland	51.44537	6.66663
Am Pandyck in Höhe von Haus-Nr. 42	Am Pandyck 42	Am Pandyck 42, Moers, Deutschland	51.44532	6.66663
Am Pandyck in Höhe von Haus-Nr. 8	Am Pandyck 8	Am Pandyck 8, Moers, Deutschland	51.44524	6.66584
Am Pandyck in Höhe von Haus-Nr. 80, Wendehammer	Am Pandyck 80, Wendehammer	Am Pandyck 80, Wendehammer, Moers, Deutschland	51.44504	6.66626
Am Pandyck in Höhe von Haus-Nr. 81	Am Pandyck 81	Am Pandyck 81, Moers, Deutschland	51.44478	6.66607
Am Pandyck in Höhe von Haus-Nr. 81, Kindergarten	Am Pandyck 81, Kindergarten	Am Pandyck 81, Kindergarten, Moers, Deutschland	51.44478	6.66607
Am Pandyck in Höhe von Haus-Nr., Kindergarten	Am Pandyck, Kindergarten	Am Pandyck, Kindergarten, Moers, Deutschland	51.44519	6.66663
Am Pandyck neben Haus-Nr. 17	Am Pandyck 17	Am Pandyck 17, Moers, Deutschland	51.4457	6.66606
Am Pandyck neben Haus-Nr. 17, Wendehammer	Am Pandyck 17, Wendehammer	Am Pandyck 17, Wendehammer, Moers, Deutschland	51.4457	6.66606
Am Pandyck vor Haus-Nr. 17	Am Pandyck 17	Am Pandyck 17, Moers, Deutschland	51.4457	6.66606
Am Pandyck, Kindergarten	Am Pandyck, Kindergarten	Am Pandyck, Kindergarten, Moers, Deutschland	51.44519	6.66663
Am Pandyck, Moerser heide	Am Pandyck, Moerser heide	Am Pandyck, Moerser heide, Moers, Deutschland	51.44522	6.66462
Am Pandyck, Wendehammer	Am Pandyck, Wendehammer	Am Pandyck, Wendehammer, Moers, Deutschland	51.44519	6.66663
Am Schrapershof 10	Am Schrapershof 10	Am Schrapershof 10, Moers, Deutschland	51.42101	6.64966
Am Schrapershof 19	Am Schrapershof 19	Am Schrapershof 19, Moers, Deutschland	51.42125	6.65033
Am Schrapershof 4	Am Schrapershof 4	Am Schrapershof 4, Moers, Deutschland	51.421	6.64928
Am Schürmannshütt 13	Am Schürmannshütt 13	Am Schürmannshütt 13, Moers, Deutschland	51.45457	6.61306
Am Schürmannshütt 15	Am Schürmannshütt 15	Am Schürmannshütt 15, Moers, Deutschland	51.45483	6.61373
Am Schürmannshütt 26c	Am Schürmannshütt 26c	Am Schürmannshütt 26c, Moers, Deutschland	51.45532	6.61659
Am Schürmannshütt 28, Mazda Schnickers	Am Schürmannshütt 28, Mazda Schnickers	Am Schürmannshütt 28, Mazda Schnickers, Moers, Deutschland	51.45492	6.61792
Am Schürmannshütt 47	Am Schürmannshütt 47	Am Schürmannshütt 47, Moers, Deutschland	51.45877	6.61993
Am Schürmannshütt 7	Am Schürmannshütt 7	Am Schürmannshütt 7, Moers, Deutschland	51.45358	6.61096
Am Schürmannshütt 7d	Am Schürmannshütt 7d	Am Schürmannshütt 7d, Moers, Deutschland	51.45363	6.61133
Am Schürmannshütt 9	Am Schürmannshütt 9	Am Schürmannshütt 9, Moers, Deutschland	51.45368	6.61147
Am Schürmannshütt ggü. Haus-Nr. 1	Am Schürmannshütt 1	Am Schürmannshütt 1, Moers, Deutschland	51.45319	6.61066
Am Schürmannshütt ggü. Haus-Nr. 26c, geg.DANY AUTOMOBILE	Am Schürmannshütt 26c, geg.DANY AUTOMOBILE	Am Schürmannshütt 26c, geg.DANY AUTOMOBILE, Moers, Deutschland	51.45532	6.61659
Am Schürmannshütt ggü. Haus-Nr. 3, Schräg	Am Schürmannshütt 3	Am Schürmannshütt 3, Moers, Deutschland	51.45326	6.61092
Am Schürmannshütt ggü. Haus-Nr. 47	Am Schürmannshütt 47	Am Schürmannshütt 47, Moers, Deutschland	51.45877	6.61993
Am Schürmannshütt ggü. Haus-Nr. 9	Am Schürmannshütt 9	Am Schürmannshütt 9, Moers, Deutschland	51.45368	6.61147
Am Schürmannshütt ggü. Haus-Nr. 9, Hyundai	Am Schürmannshütt 9, Hyundai	Am Schürmannshütt 9, Hyundai, Moers, Deutschland	51.45368	6.61147
Am Schürmannshütt ggü. Haus-Nr. schräg, Gegenüber Lauff	Am Schürmannshütt Lauff	Am Schürmannshütt Lauff, Moers, Deutschland	51.45532	6.61659
Am Schürmannshütt ggü. Haus-Nr., Gegenüber Lauff	Am Schürmannshütt, Lauff	Am Schürmannshütt, Lauff, Moers, Deutschland	51.45532	6.61659
Am Schürmannshütt ggü. Haus-Nr., Lauff	Am Schürmannshütt, Lauff	Am Schürmannshütt, Lauff, Moers, Deutschland	51.45532	6.61659
Am Schürmannshütt ggü. Haus-Nr., Lauff schräg	Am Schürmannshütt, Lauff schräg	Am Schürmannshütt, Lauff schräg, Moers, Deutschland	51.45532	6.61659
Am Schürmannshütt ggü. Haus-Nr., PORSCHEZENTRUM	Am Schürmannshütt, PORSCHEZENTRUM	Am Schürmannshütt, PORSCHEZENTRUM, Moers, Deutschland	51.45532	6.61659
Am Schürmannshütt hinter Haus-Nr. 7	Am Schürmannshütt  7	Am Schürmannshütt  7, Moers, Deutschland	51.45358	6.61096
Am Schürmannshütt in Höhe von Haus-Nr.	Am Schürmannshütt	Am Schürmannshütt, Moers, Deutschland	51.45532	6.61659
Am Schürmannshütt in Höhe von Haus-Nr. 15	Am Schürmannshütt 15	Am Schürmannshütt 15, Moers, Deutschland	51.45483	6.61373
Am Schürmannshütt in Höhe von Haus-Nr. 26, Mazda Schnickers	Am Schürmannshütt 26, Mazda Schnickers	Am Schürmannshütt 26, Mazda Schnickers, Moers, Deutschland	51.45499	6.61504
Am Schürmannshütt in Höhe von Haus-Nr. 40g	Am Schürmannshütt 40g	Am Schürmannshütt 40g, Moers, Deutschland	51.45762	6.62125
Am Schürmannshütt in Höhe von Haus-Nr. 5	Am Schürmannshütt 5	Am Schürmannshütt 5, Moers, Deutschland	51.45339	6.61098
Am Schürmannshütt in Höhe von Haus-Nr., Hyundai	Am Schürmannshütt, Hyundai	Am Schürmannshütt, Hyundai, Moers, Deutschland	51.45532	6.61659
Am Schürmannshütt in Höhe von Haus-Nr., PORSCHEZENTRUM	Am Schürmannshütt, PORSCHEZENTRUM	Am Schürmannshütt, PORSCHEZENTRUM, Moers, Deutschland	51.45532	6.61659
Am Schürmannshütt in Höhe von Haus-Nr., Tüv Nord	Am Schürmannshütt, Tüv Nord	Am Schürmannshütt, Tüv Nord, Moers, Deutschland	51.45532	6.61659
Am Schürmannshütt vor Haus-Nr., Hyundai	Am Schürmannshütt vor Haus-Nr., Hyundai	Am Schürmannshütt vor Haus-Nr., Hyundai, Moers, Deutschland	51.45532	6.61659
